_time,_control,_left_pos,_right_pos,_left_vel,_right_vel
5.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.008726645,0.008726645,1.035067,1.032739
14.0,0.0,0.008726645,0.008726645,1.035067,1.032739
22.0,0.0,0.03494467,0.03494467,4.359509,4.362778
30.0,0.0,0.05687567,0.05251235,7.150284,6.600262
38.0,0.0,0.07006134,0.0700423,8.78153,8.773806
38.0,0.0,0.07006134,0.0700423,8.78153,8.773806
46.0,0.0,0.08320885,0.08320875,10.596,10.60685
53.0,0.0,0.09199286,0.08762953,11.48963,10.9425
62.0,0.0,0.09639451,0.09201214,11.75666,11.2154
62.0,0.0,0.09639451,0.09201214,11.75666,11.2154
70.0,0.0,0.09205038,0.08766795,11.45086,10.90558
78.0,0.0,0.09203143,0.08764898,11.34594,10.81235
86.0,0.0,0.08766803,0.08764891,10.92059,10.90558
86.0,0.0,0.08766803,0.08764891,10.92059,10.90558
94.0,0.0,0.09201231,0.09201222,11.26365,11.27058
102.0,0.0,0.09203127,0.08330462,11.85993,10.73875
110.0,0.0,0.09203135,0.09199327,11.27058,11.27058
110.0,0.0,0.09203135,0.09199327,11.27058,11.27058
118.0,0.0,0.09203135,0.09203118,11.21677,11.21677
126.0,0.0,0.09203135,0.09203135,11.35437,11.35297
134.0,0.0,0.08330471,0.07894138,10.89541,10.32468
134.0,0.0,0.08330471,0.07894138,10.89541,10.32468
142.0,0.0,0.1007199,0.09633757,11.99145,11.46734
150.0,0.0,0.08334262,0.08332349,10.88539,10.88825
158.0,0.0,0.09199344,0.09199336,11.20442,11.20306
158.0,0.0,0.09199344,0.09199336,11.20442,11.20306
166.0,0.0,0.09639451,0.09203118,11.77974,11.2443
174.0,0.0,0.09641371,0.08766803,11.7222,10.65655
182.0,0.0,0.08768715,0.08764898,11.18227,11.18227
182.0,0.0,0.08768715,0.08764898,11.18227,11.18227
190.0,0.0,0.0920124,0.09201222,11.07576,11.07576
198.0,0.0,0.08330462,0.08330462,10.83135,10.83276
206.0,0.0,0.0963566,0.09199327,11.81308,11.27335
206.0,0.0,0.0963566,0.09199327,11.81308,11.27335
214.0,0.0,0.09641355,0.09203118,11.56126,11.0384
222.0,0.0,0.08768714,0.08766803,11.14799,11.14657
230.0,0.0,0.08764907,0.08328567,11.35543,10.78906
230.0,0.0,0.08764907,0.08328567,11.35543,10.78906
238.0,0.0,0.09637555,0.09635652,11.52378,11.5224
246.0,0.0,0.08768699,0.08332358,11.46734,10.89541
254.0,0.0,0.0920124,0.09199336,11.09723,11.09454
254.0,0.0,0.0920124,0.09199336,11.09723,11.09454
262.0,0.0,0.09203127,0.08766786,11.50984,10.96175
270.0,0.0,0.08766803,0.08764898,11.31274,11.31421
278.0,0.0,0.09637564,0.08764891,11.59617,10.54198
278.0,0.0,0.09637564,0.08764891,11.59617,10.54198
286.0,0.0,0.0920503,0.09201222,11.04639,11.04639
294.0,0.0,0.08766811,0.09203127,11.2864,11.85072
302.0,0.0,0.09201231,0.08766803,11.59871,11.04499
302.0,0.0,0.09201231,0.08766803,11.59871,11.04499
310.0,0.0,0.0963946,0.09201231,11.39925,10.8824
318.0,0.0,0.08768707,0.08766795,11.25728,11.25583
326.0,0.0,0.08764907,0.08328567,11.37319,10.80734
326.0,0.0,0.08764907,0.08328567,11.37319,10.80734
334.0,0.0,0.09637555,0.09635652,11.36148,11.36148
342.0,0.0,0.08768699,0.0876869,11.00876,11.00599
350.0,0.0,0.0920124,0.08764907,11.77307,11.21389
350.0,0.0,0.0920124,0.08764907,11.77307,11.21389
358.0,0.0,0.0963946,0.09201222,11.32261,10.80922
366.0,0.0,0.08768707,0.08766795,11.32008,11.31714
374.0,0.0,0.0920124,0.08764898,11.73988,11.18084
374.0,0.0,0.0920124,0.08764898,11.73988,11.18084
382.0,0.0,0.08766795,0.08764891,10.75903,10.75903
390.0,0.0,0.09201231,0.08764891,11.72936,11.17225
398.0,0.0,0.0963946,0.09201222,11.45639,10.93695
398.0,0.0,0.0963946,0.09201222,11.45639,10.93695
407.0,0.0,0.0920504,0.0963946,10.85532,11.37224
414.0,0.0,0.08766811,0.07896042,11.98715,10.78547
422.0,0.0,0.08764898,0.09197433,10.90558,11.45086
422.0,0.0,0.08764898,0.09197433,10.90558,11.45086
430.0,0.0,0.1007389,0.0920311,11.71294,10.69692
438.0,0.0,0.0833427,0.08330471,11.35971,11.35971
446.0,0.0,0.09635676,0.09199327,11.53486,11.0079
446.0,0.0,0.09635676,0.09199327,11.53486,11.0079
454.0,0.0,0.0876869,0.09203118,10.84999,11.39391
462.0,0.0,0.0920124,0.08766803,11.41804,10.87568
470.0,0.0,0.09203127,0.08764898,11.62667,11.07021
470.0,0.0,0.09203127,0.08764898,11.62667,11.07021
478.0,0.0,0.09203135,0.08764891,11.35297,10.81369
486.0,0.0,0.08766803,0.08764891,11.17941,11.17798
494.0,0.0,0.09201231,0.08764891,11.59724,11.04779
494.0,0.0,0.09201231,0.08764891,11.59724,11.04779
502.0,0.0,0.09203127,0.09637555,11.09857,11.62426
510.0,0.0,0.09203135,0.08768699,11.58112,11.03103
518.0,0.0,0.09203135,0.08328574,11.56796,10.46493
518.0,0.0,0.09203135,0.08328574,11.56796,10.46493
526.0,0.0,0.09639467,0.1007198,11.17759,11.68702
534.0,0.0,0.08332375,0.08334262,11.23653,11.23501
542.0,0.0,0.09199336,0.08763012,11.31651,10.77763
542.0,0.0,0.09199336,0.08763012,11.31651,10.77763
550.0,0.0,0.09203118,0.09201214,11.22914,11.23189
558.0,0.0,0.09203135,0.09203127,11.53011,11.52721
566.0,0.0,0.09203135,0.08330471,11.64292,10.53541
566.0,0.0,0.09203135,0.08330471,11.64292,10.53541
574.0,0.0,0.09203135,0.09199327,11.18801,11.18801
582.0,0.0,0.09203135,0.09203118,11.27751,11.2789
590.0,0.0,0.09203135,0.09203135,11.47955,11.47812
590.0,0.0,0.09203135,0.09203135,11.47955,11.47812
598.0,0.0,0.09639467,0.08766803,11.67657,10.61507
606.0,0.0,0.08332375,0.08328567,11.27167,11.2732
614.0,0.0,0.08763004,0.0919932,10.90694,11.45229
614.0,0.0,0.08763004,0.0919932,10.90694,11.45229
630.0,0.0,0.08770602,0.07894138,11.77844,10.59345
630.0,0.0,0.08770602,0.07894138,11.77844,10.59345
638.0,0.0,0.09637581,0.09197424,11.53763,11.01452
638.0,0.0,0.09637581,0.09197424,11.53763,11.01452
646.0,0.0,0.08768699,0.08766777,11.30395,11.30541
654.0,0.0,0.08764907,0.09201231,11.03382,11.58697
662.0,0.0,0.09637555,0.08766795,11.87299,10.7963
662.0,0.0,0.09637555,0.08766795,11.87299,10.7963
670.0,0.0,0.0920503,0.09201231,10.86047,10.8579
