_time,_control,_left_pos,_right_pos,_left_vel,_right_vel
12.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,4.0,3.0,409.3747,306.9996
32.0,0.0,17.0,15.0,1278.647,1180.173
41.0,0.0,36.0,34.0,1942.542,1942.74
51.0,0.0,61.0,57.0,2459.178,2262.443
61.0,0.0,86.0,81.0,2557.283,2454.992
71.0,0.0,110.0,106.0,2357.795,2456.037
81.0,0.0,133.0,129.0,2350.537,2350.296
91.0,0.0,157.0,152.0,2348.566,2250.709
102.0,0.0,180.0,175.0,2271.605,2271.829
111.0,0.0,203.0,197.0,2377.752,2274.137
122.0,0.0,228.0,221.0,2398.542,2302.821
131.0,0.0,251.0,244.0,2365.282,2365.282
141.0,0.0,274.0,267.0,2326.287,2325.581
152.0,0.0,298.0,291.0,2327.385,2328.063
162.0,0.0,322.0,313.0,2420.819,2219.084
171.0,0.0,345.0,336.0,2357.282,2355.833
182.0,0.0,369.0,360.0,2288.766,2289.639
192.0,0.0,392.0,383.0,2351.498,2351.979
202.0,0.0,417.0,407.0,2430.488,2332.815
212.0,0.0,440.0,429.0,2342.875,2241.467
222.0,0.0,463.0,452.0,2301.611,2301.611
231.0,0.0,486.0,475.0,2336.923,2336.923
241.0,0.0,510.0,498.0,2400.0,2300.0
251.0,0.0,534.0,521.0,2432.844,2331.475
261.0,0.0,558.0,545.0,2394.97,2394.97
272.0,0.0,582.0,569.0,2303.263,2302.821
282.0,0.0,605.0,592.0,2293.349,2293.578
292.0,0.0,628.0,614.0,2329.35,2228.074
301.0,0.0,652.0,637.0,2451.731,2349.816
311.0,0.0,675.0,661.0,2328.406,2429.642
321.0,0.0,699.0,684.0,2389.486,2289.924
332.0,0.0,724.0,708.0,2393.948,2297.97
341.0,0.0,746.0,730.0,2316.521,2316.765
352.0,0.0,770.0,754.0,2296.431,2295.992
362.0,0.0,795.0,777.0,2485.089,2286.51
372.0,0.0,818.0,800.0,2320.888,2320.654
382.0,0.0,842.0,824.0,2383.79,2383.79
392.0,0.0,865.0,847.0,2319.718,2320.186
402.0,0.0,888.0,869.0,2339.776,2238.047
411.0,0.0,912.0,893.0,2418.867,2418.867
422.0,0.0,936.0,916.0,2380.008,2280.841
432.0,0.0,959.0,939.0,2315.98,2315.98
442.0,0.0,983.0,962.0,2378.593,2279.485
452.0,0.0,1006.0,985.0,2315.747,2315.747
462.0,0.0,1030.0,1009.0,2376.944,2376.944
472.0,0.0,1054.0,1032.0,2413.759,2313.185
482.0,0.0,1078.0,1056.0,2374.592,2374.592
492.0,0.0,1102.0,1078.0,2411.576,2210.389
501.0,0.0,1125.0,1101.0,2331.475,2331.711
511.0,0.0,1147.0,1125.0,2209.501,2410.365
522.0,0.0,1172.0,1148.0,2469.38,2271.829
532.0,0.0,1196.0,1171.0,2408.671,2308.31
542.0,0.0,1220.0,1194.0,2369.2,2270.484
552.0,0.0,1243.0,1218.0,2305.302,2405.533
562.0,0.0,1267.0,1242.0,2367.798,2367.331
572.0,0.0,1291.0,1265.0,2403.605,2303.455
582.0,0.0,1315.0,1289.0,2365.231,2365.698
592.0,0.0,1338.0,1311.0,2300.92,2200.88
602.0,0.0,1362.0,1334.0,2423.263,2321.825
612.0,0.0,1385.0,1358.0,2300.69,2400.72
621.0,0.0,1408.0,1381.0,2393.838,2394.337
631.0,0.0,1432.0,1404.0,2397.602,2297.702
642.0,0.0,1456.0,1427.0,2360.114,2261.554
652.0,0.0,1479.0,1450.0,2297.473,2297.702
662.0,0.0,1503.0,1474.0,2358.259,2357.795
672.0,0.0,1527.0,1497.0,2393.537,2293.807
681.0,0.0,1550.0,1520.0,2389.362,2389.61
691.0,0.0,1574.0,1543.0,2391.868,2292.435
701.0,0.0,1597.0,1566.0,2313.418,2313.418
711.0,0.0,1621.0,1589.0,2391.629,2291.978
722.0,0.0,1645.0,1613.0,2353.403,2353.403
732.0,0.0,1669.0,1637.0,2389.962,2389.724
742.0,0.0,1693.0,1660.0,2351.328,2252.914
752.0,0.0,1716.0,1683.0,2286.737,2287.192
762.0,0.0,1739.0,1706.0,2379.721,2379.967
772.0,0.0,1763.0,1730.0,2384.738,2384.501
782.0,0.0,1788.0,1753.0,2445.227,2249.829
791.0,0.0,1810.0,1775.0,2301.737,2301.737
801.0,0.0,1834.0,1798.0,2404.569,2304.378
812.0,0.0,1857.0,1822.0,2282.878,2382.134
822.0,0.0,1882.0,1846.0,2441.406,2343.292
832.0,0.0,1906.0,1869.0,2380.244,2281.067
842.0,0.0,1928.0,1892.0,2269.211,2372.846
852.0,0.0,1952.0,1915.0,2377.179,2278.13
862.0,0.0,1977.0,1938.0,2438.311,2242.808
871.0,0.0,1999.0,1961.0,2303.906,2408.881
882.0,0.0,2023.0,1985.0,2338.498,2338.725
892.0,0.0,2048.0,2009.0,2474.023,2374.592
902.0,0.0,2072.0,2032.0,2396.884,2297.014
912.0,0.0,2095.0,2055.0,2273.177,2273.401
922.0,0.0,2118.0,2078.0,2365.039,2365.282
932.0,0.0,2142.0,2101.0,2370.136,2270.932
942.0,0.0,2165.0,2124.0,2363.095,2363.58
952.0,0.0,2189.0,2148.0,2368.031,2368.031
962.0,0.0,2213.0,2171.0,2332.588,2235.397
972.0,0.0,2236.0,2193.0,2399.082,2294.535
982.0,0.0,2260.0,2218.0,2329.871,2426.949
992.0,0.0,2285.0,2242.0,2462.812,2364.532
1001.0,0.0,2307.0,2263.0,2314.328,2209.131
1012.0,0.0,2331.0,2287.0,2363.833,2363.833
1022.0,0.0,2355.0,2311.0,2327.16,2327.16
1032.0,0.0,2378.0,2333.0,2392.842,2288.806
1042.0,0.0,2402.0,2358.0,2324.23,2420.604
1052.0,0.0,2425.0,2381.0,2391.101,2391.598
1062.0,0.0,2450.0,2404.0,2419.901,2225.878
1071.0,0.0,2473.0,2426.0,2388.122,2284.765
1082.0,0.0,2497.0,2450.0,2320.859,2320.634
1092.0,0.0,2520.0,2474.0,2258.223,2356.638
1102.0,0.0,2543.0,2497.0,2408.125,2408.125
1112.0,0.0,2568.0,2520.0,2453.386,2256.893
1122.0,0.0,2591.0,2543.0,2346.22,2346.46
1132.0,0.0,2615.0,2566.0,2352.48,2254.018
1142.0,0.0,2638.0,2589.0,2344.307,2344.785
1152.0,0.0,2662.0,2614.0,2350.637,2448.1
